user_id,amount,timestamp,transaction_type,country,ip_address,device
CC_2824,129.93,20-07-2025 06:29,refund,Germany,36.189.27.174,Linux
CC_2424,2954.51,24-01-2025 03:26,purchase,USA,56.60.130.155,Android
CC_4257,3581.52,02-11-2025 11:38,refund,Australia,151.72.208.223,Android
CC_3615,3492.21,05-09-2025 18:18,withdrawal,UK,56.246.196.87,Android
CC_2519,1902.74,19-09-2025 09:37,withdrawal,Singapore,207.12.187.118,Linux
CC_3045,4865.71,03-10-2025 15:22,purchase,Singapore,213.161.159.227,Windows
CC_4150,3524.34,03-02-2025 08:50,refund,Singapore,253.21.219.60,Android
CC_7227,1393.48,23-09-2025 15:54,refund,UAE,91.54.172.69,Android
CC_3803,2673.03,28-06-2025 06:22,refund,Australia,98.70.254.237,Linux
CC_4598,3424.65,10-02-2025 17:35,refund,India,207.81.103.69,Android
CC_4456,4566.11,18-08-2025 03:23,refund,Australia,102.227.235.165,MacBook
CC_3340,1328.08,29-06-2025 14:07,subscription,Singapore,192.150.110.230,Linux
CC_7543,1813.17,11-04-2025 17:31,subscription,Australia,24.194.13.221,Android
CC_3504,3139.09,04-11-2025 09:46,subscription,USA,99.98.153.120,Linux
CC_5119,4855.54,09-01-2025 08:38,purchase,Singapore,197.165.88.29,Windows
CC_8123,795,03-01-2025 08:42,withdrawal,UK,130.234.28.223,Windows
CC_9317,3046.81,22-04-2025 07:03,withdrawal,UK,139.245.200.237,Linux
CC_1009,2996.73,22-12-2025 19:00,purchase,USA,238.93.225.253,Windows
CC_4923,294.34,27-02-2025 08:22,purchase,Australia,209.18.251.195,Linux
CC_3060,646.32,13-12-2025 02:09,subscription,UK,68.136.224.156,MacBook
CC_4470,4644.92,27-05-2025 11:22,withdrawal,Canada,255.172.167.96,MacBook
CC_9479,2260.17,30-06-2025 12:27,refund,USA,87.6.151.142,iPhone
CC_4608,40.92,12-02-2025 20:53,refund,USA,232.9.221.85,Android
CC_9423,1193.83,20-12-2025 11:13,refund,UK,186.240.226.147,Linux
CC_8744,1218.77,11-12-2025 09:48,online_payment,Germany,25.25.169.111,Windows
CC_7939,2058.46,09-02-2025 10:42,purchase,India,104.187.87.205,Android
CC_5073,961.99,23-11-2025 16:05,refund,Canada,47.72.119.64,Android
CC_8260,4041.07,13-03-2025 07:04,purchase,India,249.24.238.193,iPhone
CC_3724,2035.04,17-12-2025 12:20,refund,Canada,232.16.43.98,Android
CC_7396,1329.69,28-11-2025 07:50,withdrawal,Canada,179.246.188.255,Linux
CC_8973,778.21,05-08-2025 01:20,refund,India,149.189.139.16,Windows
CC_1936,255.46,14-12-2025 04:28,subscription,UK,15.246.131.21,iPhone
CC_2122,2977.2,21-06-2025 06:29,online_payment,USA,242.228.146.64,Linux
CC_1651,3098.81,02-11-2025 06:29,subscription,UAE,240.67.53.172,Windows
CC_4910,1331.74,06-04-2025 07:15,withdrawal,Australia,81.238.193.240,Android
CC_1152,2294.14,14-03-2025 19:17,purchase,Germany,130.68.34.239,Windows
CC_2127,4396.95,27-09-2025 01:57,withdrawal,UK,113.214.140.181,Windows
CC_9666,44.08,07-08-2025 00:01,purchase,UK,68.30.228.28,Linux
CC_3546,1365.38,03-06-2025 09:01,withdrawal,Germany,176.163.219.68,Linux
CC_9004,1259.35,06-02-2025 23:46,purchase,Canada,213.71.12.1,Windows
CC_3143,3187.38,10-07-2025 18:00,refund,Australia,142.181.110.144,Android
CC_2832,380.84,19-04-2025 12:54,subscription,India,214.95.150.142,iPhone
CC_8041,641.59,13-08-2025 11:12,withdrawal,India,231.92.54.175,iPhone
CC_2684,1771.62,23-10-2025 21:57,subscription,UK,237.239.61.222,iPhone
CC_3900,4407.67,19-01-2025 01:10,refund,UAE,201.239.106.206,iPhone
CC_5371,800.19,20-03-2025 17:06,online_payment,India,220.121.57.52,MacBook
CC_6728,1529.43,15-06-2025 17:31,refund,India,169.50.103.85,Windows
CC_2137,4834.61,23-07-2025 06:03,withdrawal,Canada,174.252.216.138,Windows
CC_1452,581.13,10-07-2025 05:03,refund,Singapore,10.28.153.112,Windows
CC_6139,2184.79,26-03-2025 05:03,online_payment,Germany,66.12.182.112,Android
